"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2020","1,403.13","1,399.76","1,408.10","1,398.07","-","0.24%"
"Jan 17, 2020","1,399.82","1,393.27","1,401.99","1,387.10","-","0.45%"
"Jan 16, 2020","1,393.60","1,392.64","1,396.40","1,380.95","-","0.08%"
"Jan 15, 2020","1,392.50","1,386.36","1,399.14","1,381.95","-","0.45%"
"Jan 14, 2020","1,386.25","1,372.91","1,386.25","1,372.91","-","0.94%"
"Jan 13, 2020","1,373.32","1,377.41","1,386.91","1,371.19","-","-0.26%"
"Jan 10, 2020","1,376.85","1,366.07","1,379.01","1,366.07","-","0.78%"
"Jan 09, 2020","1,366.21","1,367.53","1,379.29","1,363.30","-","-0.10%"
"Jan 08, 2020","1,367.62","1,371.44","1,372.04","1,361.72","-","-0.21%"
"Jan 07, 2020","1,370.44","1,369.71","1,379.56","1,361.52","-","0.03%"
"Jan 06, 2020","1,370.04","1,388.00","1,388.57","1,364.42","-","-1.28%"
"Jan 03, 2020","1,387.83","1,382.48","1,391.13","1,373.95","-","0.39%"
"Jan 02, 2020","1,382.37","1,370.08","1,393.81","1,370.08","-","0.87%"
"Dec 31, 2019","1,370.51","1,388.92","1,388.92","1,368.98","-","-1.33%"
"Dec 30, 2019","1,389.03","1,379.68","1,389.72","1,376.95","-","0.66%"
"Dec 27, 2019","1,379.92","1,377.86","1,393.41","1,371.95","-","0.26%"
"Dec 24, 2019","1,376.34","1,372.67","1,376.34","1,364.84","-","0.37%"
"Dec 23, 2019","1,371.28","1,382.51","1,382.51","1,358.17","-","-0.83%"
"Dec 20, 2019","1,382.78","1,382.55","1,389.44","1,374.61","-","0.02%"
"Dec 19, 2019","1,382.46","1,389.31","1,397.88","1,379.24","-","-0.44%"
"Dec 18, 2019","1,388.62","1,364.13","1,390.19","1,364.13","-","1.78%"
"Dec 17, 2019","1,364.37","1,343.11","1,376.88","1,342.88","-","1.65%"
"Dec 13, 2019","1,342.18","1,315.26","1,351.92","1,314.04","-","2.05%"
"Dec 12, 2019","1,315.26","1,314.06","1,330.18","1,314.06","-","0.09%"
"Dec 11, 2019","1,314.06","1,301.21","1,314.06","1,301.13","-","0.98%"
"Dec 10, 2019","1,301.26","1,303.26","1,303.36","1,284.35","-","-0.16%"
"Dec 09, 2019","1,303.36","1,305.71","1,306.85","1,295.68","-","-0.19%"
"Dec 06, 2019","1,305.78","1,298.85","1,317.64","1,298.85","-","0.55%"
"Dec 05, 2019","1,298.59","1,307.55","1,312.68","1,294.02","-","-0.66%"
"Dec 04, 2019","1,307.23","1,291.76","1,314.82","1,289.54","-","1.25%"
"Dec 03, 2019","1,291.12","1,290.98","1,295.04","1,288.44","-","-0.00%"
"Dec 02, 2019","1,291.18","1,311.02","1,313.30","1,286.42","-","-1.48%"
"Nov 29, 2019","1,310.56","1,313.26","1,316.03","1,299.12","-","-0.22%"
"Nov 28, 2019","1,313.40","1,331.66","1,331.87","1,313.40","-","-1.36%"
"Nov 27, 2019","1,331.47","1,332.07","1,346.38","1,328.65","-","-0.03%"
"Nov 26, 2019","1,331.82","1,360.87","1,361.97","1,331.82","-","-2.24%"
"Nov 25, 2019","1,362.31","1,374.51","1,380.02","1,357.01","-","-0.89%"
"Nov 22, 2019","1,374.51","1,374.64","1,379.39","1,367.06","-","0.00%"
"Nov 21, 2019","1,374.45","1,392.66","1,392.68","1,369.89","-","-1.34%"
