"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2020","3,571.78","3,522.11","3,571.78","3,502.89","-","2.51%"
"Aug 31, 2020","3,484.23","3,588.25","3,588.25","3,474.28","-","-2.93%"
"Aug 28, 2020","3,589.34","3,557.41","3,614.29","3,556.40","-","1.26%"
"Aug 27, 2020","3,544.85","3,595.64","3,595.64","3,503.48","-","-0.85%"
"Aug 26, 2020","3,575.22","3,619.65","3,619.65","3,564.23","-","-1.02%"
"Aug 25, 2020","3,612.17","3,594.38","3,623.39","3,580.23","-","0.49%"
"Aug 24, 2020","3,594.39","3,624.80","3,636.02","3,587.56","-","-0.06%"
"Aug 21, 2020","3,596.63","3,642.12","3,642.12","3,596.63","-","-0.68%"
"Aug 20, 2020","3,621.23","3,636.62","3,643.74","3,598.73","-","-1.61%"
"Aug 19, 2020","3,680.36","3,686.02","3,706.87","3,659.44","-","0.14%"
"Aug 18, 2020","3,675.14","3,715.00","3,715.32","3,650.52","-","-0.97%"
"Aug 17, 2020","3,711.22","3,684.02","3,711.22","3,672.98","-","0.87%"
"Aug 14, 2020","3,679.24","3,622.18","3,690.49","3,620.54","-","2.05%"
"Aug 13, 2020","3,605.22","3,603.01","3,643.99","3,583.48","-","-0.03%"
"Aug 12, 2020","3,606.19","3,613.94","3,623.29","3,598.26","-","0.29%"
"Aug 11, 2020","3,595.62","3,583.94","3,627.60","3,582.41","-","1.71%"
"Aug 10, 2020","3,535.16","3,539.70","3,562.99","3,527.79","-","0.63%"
"Aug 07, 2020","3,512.95","3,512.68","3,539.03","3,499.72","-","-0.56%"
"Aug 06, 2020","3,532.82","3,517.26","3,541.28","3,505.18","-","0.43%"
"Aug 05, 2020","3,517.70","3,474.69","3,568.32","3,472.84","-","2.71%"
"Aug 04, 2020","3,425.01","3,428.31","3,451.41","3,418.44","-","-1.05%"
"Aug 03, 2020","3,461.52","3,457.38","3,474.27","3,423.31","-","-0.33%"
"Jul 31, 2020","3,473.13","3,502.31","3,502.31","3,428.91","-","-0.38%"
"Jul 30, 2020","3,486.27","3,530.84","3,542.14","3,486.27","-","-2.36%"
"Jul 29, 2020","3,570.63","3,595.35","3,595.35","3,540.04","-","-0.44%"
"Jul 28, 2020","3,586.48","3,559.71","3,592.86","3,551.75","-","0.38%"
"Jul 27, 2020","3,572.78","3,521.45","3,574.36","3,501.79","-","2.72%"
"Jul 24, 2020","3,478.29","3,471.42","3,494.56","3,440.91","-","-0.33%"
"Jul 23, 2020","3,489.65","3,484.68","3,490.88","3,454.37","-","-0.74%"
"Jul 22, 2020","3,515.79","3,441.98","3,515.79","3,440.53","-","2.40%"
"Jul 21, 2020","3,433.28","3,392.60","3,458.31","3,392.60","-","2.77%"
"Jul 20, 2020","3,340.78","3,348.11","3,366.55","3,318.59","-","-0.49%"
"Jul 17, 2020","3,357.24","3,387.09","3,387.09","3,338.30","-","-1.22%"
"Jul 16, 2020","3,398.69","3,393.81","3,404.88","3,362.76","-","-0.56%"
"Jul 15, 2020","3,417.99","3,411.81","3,428.65","3,392.19","-","2.88%"
"Jul 14, 2020","3,322.43","3,312.90","3,351.60","3,281.40","-","-1.34%"
"Jul 13, 2020","3,367.70","3,379.52","3,422.11","3,322.38","-","0.37%"
"Jul 10, 2020","3,355.27","3,366.96","3,380.12","3,341.01","-","-0.10%"
"Jul 09, 2020","3,358.52","3,443.08","3,446.86","3,358.52","-","-1.48%"
"Jul 08, 2020","3,408.81","3,464.44","3,467.72","3,387.16","-","-1.68%"
"Jul 07, 2020","3,467.06","3,494.33","3,505.44","3,436.16","-","-1.95%"
"Jul 06, 2020","3,535.97","3,558.23","3,566.24","3,511.81","-","0.67%"
"Jul 03, 2020","3,512.34","3,511.53","3,521.51","3,489.07","-","0.66%"
"Jul 02, 2020","3,489.34","3,492.42","3,555.48","3,479.98","-","1.88%"
"Jul 01, 2020","3,425.07","3,419.78","3,463.67","3,410.65","-","1.16%"
"Jun 30, 2020","3,385.86","3,390.97","3,414.49","3,356.07","-","-0.11%"
"Jun 29, 2020","3,389.57","3,381.18","3,401.29","3,355.86","-","0.28%"
