"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2020","1,530.22","1,542.12","1,563.84","1,515.99","-","-1.24%"
"Jul 10, 2020","1,549.44","1,535.26","1,557.90","1,521.96","-","0.02%"
"Jul 09, 2020","1,549.11","1,564.56","1,582.79","1,525.71","-","0.49%"
"Jul 08, 2020","1,541.57","1,517.13","1,551.68","1,516.75","-","1.16%"
"Jul 07, 2020","1,523.86","1,530.51","1,548.16","1,501.89","-","-1.48%"
"Jul 06, 2020","1,546.81","1,516.95","1,554.62","1,516.27","-","2.89%"
"Jul 03, 2020","1,503.36","1,492.41","1,511.44","1,482.92","-","0.54%"
"Jul 02, 2020","1,495.24","1,510.93","1,538.26","1,487.55","-","0.44%"
"Jul 01, 2020","1,488.67","1,464.68","1,506.78","1,464.06","-","3.64%"
"Jun 30, 2020","1,436.38","1,459.39","1,470.16","1,434.04","-","-1.63%"
"Jun 29, 2020","1,460.22","1,442.99","1,468.18","1,426.76","-","2.46%"
"Jun 26, 2020","1,425.22","1,466.20","1,466.76","1,419.19","-","-4.57%"
"Jun 25, 2020","1,493.42","1,477.13","1,503.07","1,457.50","-","0.35%"
"Jun 24, 2020","1,488.18","1,537.33","1,538.35","1,454.38","-","-3.30%"
"Jun 23, 2020","1,539.01","1,527.43","1,567.52","1,526.52","-","1.89%"
"Jun 22, 2020","1,510.46","1,525.97","1,539.61","1,490.75","-","1.10%"
"Jun 19, 2020","1,494.05","1,489.35","1,513.87","1,481.13","-","0.24%"
"Jun 18, 2020","1,490.42","1,478.03","1,505.43","1,458.51","-","-1.17%"
"Jun 17, 2020","1,508.14","1,477.04","1,529.91","1,476.82","-","1.08%"
"Jun 16, 2020","1,492.08","1,507.96","1,554.64","1,476.94","-","1.82%"
"Jun 15, 2020","1,465.38","1,485.10","1,516.98","1,436.21","-","-3.36%"
"Jun 12, 2020","1,516.32","1,552.43","1,556.03","1,479.64","-","-3.66%"
"Jun 11, 2020","1,573.99","1,573.99","1,573.99","1,573.99","-","-1.39%"
"Jun 10, 2020","1,596.24","1,639.86","1,657.12","1,577.81","-","-2.27%"
"Jun 09, 2020","1,633.33","1,644.49","1,645.26","1,599.54","-","0.13%"
"Jun 08, 2020","1,631.25","1,576.79","1,665.39","1,575.85","-","3.51%"
"Jun 05, 2020","1,575.92","1,550.16","1,620.47","1,550.08","-","3.33%"
"Jun 04, 2020","1,525.12","1,503.80","1,531.92","1,488.00","-","-0.43%"
"Jun 03, 2020","1,531.74","1,485.17","1,541.86","1,482.54","-","5.96%"
"Jun 02, 2020","1,445.60","1,384.92","1,450.15","1,382.87","-","5.41%"
"Jun 01, 2020","1,371.37","1,354.48","1,378.59","1,344.30","-","2.48%"
"May 29, 2020","1,338.18","1,339.59","1,362.61","1,303.84","-","-1.13%"
"May 28, 2020","1,353.48","1,379.45","1,379.81","1,339.78","-","-1.77%"
"May 27, 2020","1,377.92","1,340.25","1,385.22","1,339.88","-","3.71%"
"May 26, 2020","1,328.57","1,321.60","1,353.47","1,321.59","-","1.72%"
"May 25, 2020","1,306.10","1,243.95","1,310.70","1,243.95","-","6.15%"
"May 22, 2020","1,230.38","1,231.22","1,241.24","1,213.36","-","-0.64%"
"May 21, 2020","1,238.35","1,203.29","1,245.23","1,201.92","-","3.76%"
"May 20, 2020","1,193.44","1,170.35","1,206.43","1,169.34","-","1.88%"
"May 19, 2020","1,171.47","1,186.39","1,198.86","1,167.37","-","-0.68%"
"May 18, 2020","1,179.44","1,124.22","1,189.61","1,123.57","-","6.31%"
"May 15, 2020","1,109.43","1,122.48","1,148.33","1,102.64","-","-0.28%"
"May 14, 2020","1,112.53","1,089.45","1,132.80","1,053.98","-","1.83%"
"May 13, 2020","1,092.51","1,111.83","1,122.76","1,081.77","-","-2.71%"
"May 12, 2020","1,122.98","1,144.26","1,161.65","1,103.20","-","-1.14%"
"May 11, 2020","1,135.98","1,157.53","1,162.54","1,127.28","-","-2.51%"
"May 08, 2020","1,165.25","1,122.60","1,169.35","1,121.26","-","5.27%"
"May 07, 2020","1,106.93","1,130.08","1,150.43","1,105.53","-","-4.39%"
"May 06, 2020","1,157.81","1,171.43","1,177.42","1,141.69","-","-2.57%"
"May 05, 2020","1,188.40","1,185.96","1,223.65","1,174.94","-","1.41%"
"May 04, 2020","1,171.83","1,195.63","1,195.88","1,155.07","-","-3.80%"
"May 01, 2020","1,218.06","1,218.06","1,218.06","1,218.06","-","-1.29%"
"Apr 30, 2020","1,233.94","1,276.26","1,276.36","1,221.34","-","-3.46%"
"Apr 29, 2020","1,278.12","1,239.91","1,297.74","1,237.66","-","5.56%"
"Apr 28, 2020","1,210.81","1,170.11","1,233.06","1,169.02","-","4.78%"
"Apr 27, 2020","1,155.61","1,120.62","1,167.40","1,119.52","-","4.66%"
"Apr 24, 2020","1,104.13","1,187.48","1,189.69","1,057.13","-","-8.96%"
"Apr 23, 2020","1,212.80","1,240.65","1,261.67","1,191.23","-","-2.69%"
"Apr 22, 2020","1,246.36","1,228.50","1,254.48","1,225.69","-","0.78%"
"Apr 21, 2020","1,236.74","1,236.74","1,236.74","1,236.74","-","-0.45%"
"Apr 20, 2020","1,242.32","1,247.88","1,258.30","1,212.32","-","-0.46%"
"Apr 17, 2020","1,248.00","1,235.46","1,268.19","1,230.01","-","0.99%"
"Apr 16, 2020","1,235.78","1,257.39","1,278.09","1,224.78","-","-1.12%"
"Apr 15, 2020","1,249.80","1,266.94","1,276.17","1,231.09","-","-2.70%"
"Apr 14, 2020","1,284.44","1,274.52","1,320.96","1,274.46","-","1.39%"
"Apr 13, 2020","1,266.80","1,261.82","1,271.72","1,226.84","-","-1.42%"
"Apr 10, 2020","1,285.05","1,285.05","1,285.05","1,285.05","-","0.00%"
"Apr 09, 2020","1,285.05","1,287.59","1,330.61","1,270.95","-","1.38%"
"Apr 08, 2020","1,267.56","1,219.46","1,286.81","1,214.32","-","4.03%"
"Apr 07, 2020","1,218.45","1,192.17","1,284.53","1,192.13","-","3.11%"
"Apr 06, 2020","1,181.68","1,103.15","1,200.09","1,103.10","-","7.75%"
"Apr 03, 2020","1,096.65","1,138.56","1,139.61","1,064.37","-","-4.31%"
"Apr 02, 2020","1,146.05","1,123.70","1,176.07","1,120.65","-","1.51%"
"Apr 01, 2020","1,129.00","1,160.31","1,160.31","1,098.50","-","-3.68%"
"Mar 31, 2020","1,172.10","1,195.92","1,213.62","1,158.24","-","-2.77%"
"Mar 30, 2020","1,205.45","1,185.49","1,215.64","1,176.85","-","0.99%"
"Mar 27, 2020","1,193.69","1,269.77","1,269.83","1,189.20","-","-7.67%"
"Mar 26, 2020","1,292.80","1,249.09","1,316.28","1,247.77","-","4.50%"
"Mar 25, 2020","1,237.12","1,147.56","1,286.01","1,140.59","-","7.63%"
"Mar 24, 2020","1,149.41","1,050.67","1,179.55","1,050.67","-","10.91%"
"Mar 23, 2020","1,036.30","1,111.37","1,118.60","1,014.77","-","-7.70%"
"Mar 20, 2020","1,122.70","1,137.58","1,203.83","1,096.21","-","1.03%"
"Mar 19, 2020","1,111.22","1,085.60","1,152.87","1,006.94","-","1.50%"
"Mar 18, 2020","1,094.76","1,202.36","1,203.04","1,015.62","-","-11.44%"
"Mar 17, 2020","1,236.18","1,176.18","1,283.22","1,159.91","-","4.28%"
"Mar 16, 2020","1,185.47","1,380.61","1,380.61","1,173.60","-","-17.36%"
"Mar 13, 2020","1,434.46","1,269.48","1,437.20","1,266.79","-","16.37%"
"Mar 12, 2020","1,232.70","1,427.67","1,427.67","1,164.11","-","-17.66%"
"Mar 11, 2020","1,497.12","1,622.76","1,624.54","1,403.87","-","-7.87%"
"Mar 10, 2020","1,624.93","1,520.02","1,634.98","1,519.82","-","8.16%"
"Mar 09, 2020","1,502.28","1,704.38","1,709.03","1,493.64","-","-14.29%"
"Mar 06, 2020","1,752.70","1,813.56","1,814.54","1,723.97","-","-3.54%"
"Mar 05, 2020","1,816.96","1,921.43","1,921.59","1,790.15","-","-6.56%"
"Mar 04, 2020","1,944.60","1,928.27","1,969.47","1,899.54","-","-0.20%"
"Mar 03, 2020","1,948.56","1,949.11","2,007.67","1,903.09","-","-0.19%"
"Mar 02, 2020","1,952.22","1,909.19","1,967.94","1,894.45","-","2.82%"
"Feb 28, 2020","1,898.68","1,888.77","1,914.44","1,825.63","-","0.42%"
"Feb 27, 2020","1,890.67","1,946.32","1,966.85","1,883.46","-","-4.43%"
"Feb 26, 2020","1,978.23","2,112.10","2,113.82","1,941.72","-","-6.89%"
"Feb 25, 2020","2,124.70","2,124.70","2,124.70","2,124.70","-","0.00%"
"Feb 24, 2020","2,124.70","2,124.70","2,124.70","2,124.70","-","-0.17%"
"Feb 21, 2020","2,128.36","2,144.99","2,145.48","2,101.51","-","-0.95%"
"Feb 20, 2020","2,148.77","2,187.81","2,190.85","2,144.47","-","-2.03%"
"Feb 19, 2020","2,193.32","2,168.39","2,199.19","2,163.59","-","0.78%"
"Feb 18, 2020","2,176.26","2,188.07","2,188.07","2,149.76","-","-1.03%"
"Feb 17, 2020","2,198.88","2,189.00","2,205.60","2,188.88","-","0.47%"
"Feb 14, 2020","2,188.69","2,207.22","2,213.18","2,183.26","-","-0.75%"
"Feb 13, 2020","2,205.13","2,196.78","2,219.59","2,180.17","-","-0.55%"
"Feb 12, 2020","2,217.42","2,197.59","2,237.40","2,196.56","-","0.58%"
"Feb 11, 2020","2,204.64","2,158.12","2,204.83","2,157.93","-","2.27%"
"Feb 10, 2020","2,155.67","2,172.67","2,183.51","2,141.54","-","-0.95%"
"Feb 07, 2020","2,176.35","2,207.23","2,212.12","2,169.98","-","-2.04%"
"Feb 06, 2020","2,221.72","2,255.95","2,281.72","2,203.96","-","-0.85%"
"Feb 05, 2020","2,240.73","2,246.44","2,289.85","2,240.73","-","-0.02%"
"Feb 04, 2020","2,241.28","2,231.40","2,266.74","2,229.29","-","0.72%"
"Feb 03, 2020","2,225.25","2,197.59","2,241.00","2,193.08","-","1.47%"
"Jan 31, 2020","2,192.91","2,234.76","2,234.76","2,172.74","-","-1.68%"
"Jan 30, 2020","2,230.41","2,235.95","2,245.16","2,180.51","-","-1.11%"
"Jan 29, 2020","2,255.55","2,291.35","2,302.05","2,246.12","-","-0.87%"
"Jan 28, 2020","2,275.27","2,248.50","2,291.85","2,248.50","-","1.97%"
"Jan 27, 2020","2,231.26","2,307.60","2,307.93","2,231.26","-","-4.14%"
"Jan 24, 2020","2,327.62","2,349.59","2,351.76","2,316.61","-","-1.20%"
"Jan 23, 2020","2,355.81","2,333.73","2,359.56","2,303.04","-","1.30%"
"Jan 22, 2020","2,325.58","2,296.00","2,326.81","2,296.00","-","1.59%"
"Jan 21, 2020","2,289.23","2,327.11","2,327.11","2,282.17","-","-1.98%"
"Jan 20, 2020","2,335.52","2,331.24","2,335.52","2,319.68","-","0.22%"
"Jan 17, 2020","2,330.46","2,298.38","2,342.39","2,298.11","-","1.39%"
"Jan 16, 2020","2,298.42","2,299.55","2,314.19","2,273.53","-","0.17%"
"Jan 15, 2020","2,294.51","2,335.24","2,335.24","2,287.83","-","-1.86%"
"Jan 14, 2020","2,338.03","2,329.29","2,344.86","2,321.49","-","0.12%"
"Jan 13, 2020","2,335.29","2,314.96","2,341.38","2,313.39","-","-0.19%"
